      #Energy        TDOS
      -5.49262       6.11187
      -5.45562       6.15782
      -5.41962       6.19258
      -5.38362       6.22074
      -5.34662       6.24497
      -5.31062       6.26734
      -5.27362       6.28835
      -5.23762       6.30723
      -5.20162       6.32566
      -5.16462       6.34682
      -5.12862       6.37467
      -5.09162       6.41668
      -5.05562       6.47863
      -5.01962       6.55124
      -4.98262       6.61656
      -4.94662       6.67349
      -4.90962       6.73891
      -4.87362       6.81750
      -4.83762       6.89429
      -4.80062       6.96290
      -4.76462       7.04192
      -4.72762       7.15120
      -4.69162       7.27134
      -4.65462       7.36825
      -4.61862       7.44591
      -4.58262       7.52751
      -4.54562       7.62115
      -4.50962       7.72304
      -4.47262       7.83174
      -4.43662       7.95509
      -4.40062       8.10538
      -4.36362       8.27578
      -4.32762       8.43328
      -4.29062       8.55134
      -4.25462       8.63009
      -4.21862       8.68345
      -4.18162       8.72746
      -4.14562       8.77254
      -4.10862       8.81730
      -4.07262       8.86017
      -4.03662       8.90221
      -3.99962       8.94497
      -3.96362       8.99345
      -3.92662       9.05538
      -3.89062       9.13364
      -3.85362       9.21252
      -3.81762       9.27467
      -3.78162       9.32307
      -3.74462       9.36798
      -3.70862       9.42070
      -3.67162       9.50124
      -3.63562       9.62055
      -3.59962       9.75987
      -3.56262       9.89536
      -3.52662      10.02088
      -3.48962      10.13468
      -3.45362      10.23899
      -3.41762      10.34068
      -3.38062      10.43568
      -3.34462      10.51671
      -3.30762      10.59068
      -3.27162      10.67139
      -3.23562      10.76030
      -3.19862      10.84945
      -3.16262      10.93927
      -3.12562      11.03477
      -3.08962      11.14118
      -3.05262      11.26371
      -3.01662      11.39079
      -2.98062      11.50188
      -2.94362      11.59774
      -2.90762      11.69379
      -2.87062      11.79801
      -2.83462      11.91368
      -2.79862      12.03332
      -2.76162      12.13821
      -2.72562      12.23435
      -2.68862      12.34193
      -2.65262      12.45209
      -2.61662      12.54850
      -2.57962      12.63561
      -2.54362      12.71580
      -2.50662      12.77835
      -2.47062      12.82693
      -2.43462      12.88302
      -2.39762      12.95174
      -2.36162      13.01599
      -2.32462      13.06619
      -2.28862      13.10965
      -2.25162      13.15306
      -2.21562      13.19628
      -2.17962      13.23968
      -2.14262      13.28889
      -2.10662      13.35358
      -2.06962      13.43844
      -2.03362      13.53528
      -1.99762      13.63102
      -1.96062      13.71820
      -1.92462      13.79921
      -1.88762      13.88091
      -1.85162      13.96388
      -1.81562      14.04003
      -1.77862      14.10384
      -1.74262      14.17023
      -1.70562      14.26864
      -1.66962      14.40339
      -1.63362      14.53976
      -1.59662      14.65186
      -1.56062      14.74620
      -1.52362      14.83531
      -1.48762      14.93035
      -1.45062      15.03769
      -1.41462      15.15321
      -1.37862      15.27203
      -1.34162      15.38714
      -1.30562      15.49252
      -1.26862      15.58964
      -1.23262      15.67800
      -1.19662      15.75941
      -1.15962      15.84623
      -1.12362      15.95553
      -1.08662      16.09856
      -1.05062      16.26448
      -1.01462      16.42511
      -0.97762      16.56146
      -0.94162      16.68474
      -0.90462      16.82901
      -0.86862      16.99360
      -0.83262      17.12842
      -0.79562      17.20952
      -0.75962      17.26196
      -0.72262      17.30782
      -0.68662      17.34621
      -0.65062      17.37322
      -0.61362      17.39494
      -0.57762      17.41795
      -0.54062      17.43993
      -0.50462      17.45638
      -0.46762      17.47181
      -0.43162      17.49481
      -0.39562      17.52167
      -0.35862      17.54242
      -0.32262      17.56315
      -0.28562      17.60028
      -0.24962      17.65761
      -0.21362      17.72140
      -0.17662      17.77929
      -0.14062      17.83499
      -0.10362      17.89672
      -0.06762      17.95456
      -0.03162      17.98826
       0.00538      17.99866
       0.04138      18.00203
       0.07838      18.00981
       0.11438      18.02491
       0.15038      18.04154
       0.18738      18.05399
       0.22338      18.06484
       0.26038      18.07761
       0.29638      18.09331
       0.33338      18.12462
       0.36938      18.19427
       0.40538      18.30068
       0.44238      18.41154
       0.47838      18.50384
       0.51538      18.57931
       0.55138      18.64931
       0.58738      18.72628
       0.62438      18.82107
       0.66038      18.94141
       0.69738      19.08543
       0.73338      19.24597
       0.76938      19.41269
       0.80638      19.57596
       0.84238      19.74563
       0.87938      19.92783
       0.91538      20.09195
       0.95138      20.20339
       0.98838      20.27066
       1.02438      20.31997
       1.06138      20.36186
       1.09738      20.40100
       1.13438      20.44313
       1.17038      20.49727
       1.20638      20.57798
       1.24338      20.68584
       1.27938      20.79775
       1.31638      20.90490
       1.35238      21.01749
       1.38838      21.13509
       1.42538      21.25200
       1.46138      21.35828
       1.49838      21.43918
       1.53438      21.49861
       1.57038      21.55521
       1.60738      21.61410
       1.64338      21.67166
       1.68038      21.73230
       1.71638      21.80348
       1.75238      21.88536
       1.78938      21.97624
       1.82538      22.07660
       1.86238      22.17565
       1.89838      22.25570
       1.93538      22.31659
       1.97138      22.37490
       2.00738      22.43761
       2.04438      22.49481
       2.08038      22.54158
       2.11738      22.58836
       2.15338      22.63972
       2.18938      22.68845
       2.22638      22.73340
       2.26238      22.78003
       2.29938      22.83270
       2.33538      22.89636
       2.37138      22.97295
       2.40838      23.04684
       2.44438      23.09852
       2.48138      23.13406
       2.51738      23.16946
       2.55338      23.20734
       2.59038      23.24839
       2.62638      23.29978
       2.66338      23.36725
       2.69938      23.44032
       2.73638      23.49504
       2.77238      23.52368
       2.80838      23.53915
       2.84538      23.55435
       2.88138      23.57717
       2.91838      23.61212
       2.95438      23.66085
       2.99038      23.71894
       3.02738      23.77551
       3.06338      23.82276
       3.10038      23.86069
       3.13638      23.89283
       3.17238      23.92133
       3.20938      23.94864
       3.24538      23.97742
       3.28238      24.00766
       3.31838      24.03851
       3.35438      24.06976
       3.39138      24.10474
       3.42738      24.14820
       3.46438      24.19900
       3.50038      24.24581
       3.53638      24.27640
       3.57338      24.29199
       3.60938      24.30184
       3.64638      24.31132
       3.68238      24.32016
       3.71938      24.32856
       3.75538      24.33839
       3.79138      24.34802
       3.82838      24.35520
       3.86438      24.36271
       3.90138      24.37304
       3.93738      24.38302
       3.97338      24.39102
       4.01038      24.40405
       4.04638      24.43377
       4.08338      24.47965
       4.11938      24.52511
       4.15538      24.56195
       4.19238      24.59956
       4.22838      24.64410
       4.26538      24.68723
       4.30138      24.72347
       4.33738      24.75783
       4.37438      24.79435
       4.41038      24.84305
       4.44738      24.91539
       4.48338      25.00357
       4.52038      25.09367
       4.55638      25.17719
       4.59238      25.25033
       4.62938      25.31656
       4.66538      25.37543
       4.70238      25.42679
       4.73838      25.48100
       4.77438      25.54592
       4.81138      25.61548
       4.84738      25.68434
       4.88438      25.76231
       4.92038      25.86222
       4.95638      25.97133
       4.99338      26.05577
       5.02938      26.10778
       5.06638      26.14835
       5.10238      26.19015
       5.13838      26.23850
       5.17538      26.30935
       5.21138      26.41459
       5.24838      26.53800
       5.28438      26.64935
       5.32138      26.73703
       5.35738      26.81010
       5.39338      26.87609
       5.43038      26.93613
       5.46638      26.99942
       5.50338      27.07588
       5.53938      27.15818
       5.57538      27.23710
       5.61238      27.31385
       5.64838      27.38568
       5.68538      27.45553
       5.72138      27.53802
       5.75738      27.63293
       5.79438      27.73087
       5.83038      27.82849
       5.86738      27.91891
       5.90338      27.99713
       5.93938      28.06430
       5.97638      28.12591
       6.01238      28.19143
       6.04938      28.26437
       6.08538      28.34021
       6.12238      28.41355
       6.15838      28.49160
       6.19438      28.59467
       6.23138      28.72128
       6.26738      28.83988
       6.30438      28.93365
       6.34038      29.01384
       6.37638      29.09937
       6.41338      29.20834
       6.44938      29.34263
       6.48638      29.47922
       6.52238      29.59607
       6.55838      29.69432
       6.59538      29.78713
       6.63138      29.87706
       6.66838      29.95817
       6.70438      30.03059
       6.74038      30.09842
       6.77738      30.16716
       6.81338      30.23907
       6.85038      30.30655
       6.88638      30.36491
       6.92238      30.42512
       6.95938      30.49830
       6.99538      30.58559
       7.03238      30.68023
       7.06838      30.77072
       7.10538      30.86166
       7.14138      30.96926
       7.17738      31.08925
       7.21438      31.19754
       7.25038      31.28289
       7.28738      31.35825
       7.32338      31.44245
       7.35938      31.54450
       7.39638      31.66328
       7.43238      31.79197
       7.46938      31.91949
       7.50538      32.03855
       7.54138      32.15101
       7.57838      32.26406
       7.61438      32.38081
       7.65138      32.49169
       7.68738      32.58054
       7.72338      32.64812
       7.76038      32.71129
       7.79638      32.77901
       7.83338      32.85678
       7.86938      32.95499
       7.90638      33.07596
       7.94238      33.20262
       7.97838      33.32042
       8.01538      33.44019
       8.05138      33.57106
       8.08838      33.69605
       8.12438      33.80422
       8.16038      33.90926
       8.19738      34.01889
       8.23338      34.12930
       8.27038      34.24162
       8.30638      34.36251
       8.34238      34.50121
       8.37938      34.65959
       8.41538      34.81977
       8.45238      34.96222
       8.48838      35.08806
       8.52438      35.20592
       8.56138      35.31596
       8.59738      35.42191
       8.63438      35.53576
       8.67038      35.65973
       8.70738      35.78274
       8.74338      35.90274
       8.77938      36.02872
       8.81638      36.16050
       8.85238      36.30186
       8.88938      36.45576
       8.92538      36.60423
       8.96138      36.74291
       8.99838      36.87602
       9.03438      36.99105
       9.07138      37.08488
       9.10738      37.17352
       9.14338      37.27575
       9.18038      37.39909
       9.21638      37.53693
       9.25338      37.67204
       9.28938      37.79317
