#K-Path     Band-1    Band-2    Band-3    Band-4      ...     Band-n
  0.6345  -12.6696  -10.8795  -10.1634   -4.7678   -4.2869   -3.6539   -2.8827   -1.0502   -0.8816    0.7326    0.8339    3.0583    3.1186    6.4107    7.5486    8.2620    8.6111    9.6193   10.0312   10.3235   10.4268   10.9015   11.0892   11.6168   12.8043   13.1049   13.4712   13.8471   14.1636   14.3187   15.1875   15.8387
  0.6768  -12.6025  -10.9423  -10.1541   -4.7625   -4.3202   -3.6582   -3.0764   -1.0620   -0.8826    0.7343    0.8183    3.0505    3.2316    6.6705    7.8404    8.4686    8.6547    9.6255   10.1003   10.3926   10.4282   10.8581   11.0423   11.6884   12.5327   12.8769   13.5009   13.7707   13.9528   14.6425   15.3462   15.7196
  0.7191  -12.5490  -10.9932  -10.1472   -4.7543   -4.3395   -3.6409   -3.2447   -1.0719   -0.8836    0.7358    0.8065    3.0032    3.3598    6.9101    8.1353    8.6253    8.6717    9.5046    9.8289   10.3052   10.6972   10.9663   11.2506   11.8246   12.2773   12.5797   13.1288   13.5636   14.2501   15.0170   15.4156   15.6466
  0.7614  -12.5143  -11.0266  -10.1429   -4.7479   -4.3481   -3.6005   -3.3804   -1.0784   -0.8843    0.7369    0.7990    2.9747    3.4396    7.0928    8.3684    8.6392    8.8135    9.3225    9.5678   10.2219   10.9501   11.1346   11.4593   11.9218   12.1686   12.3268   12.7576   13.3430   14.5360   15.2702   15.4288   15.7024
  0.8037  -12.5021  -11.0383  -10.1414   -4.7455   -4.3503   -3.5622   -3.4514   -1.0807   -0.8845    0.7373    0.7964    2.9651    3.4666    7.1643    8.4181    8.7398    8.8631    9.1903    9.4647   10.1908   11.0650   11.2297   11.5325   11.8738   12.2139   12.3408   12.4825   13.2535   14.6460   15.3231   15.4281   15.7737
  0.8037  -12.5021  -11.0383  -10.1414   -4.7455   -4.3503   -3.5622   -3.4514   -1.0807   -0.8845    0.7373    0.7964    2.9651    3.4666    7.1643    8.4181    8.7398    8.8631    9.1903    9.4647   10.1908   11.0650   11.2297   11.5325   11.8738   12.2139   12.3408   12.4825   13.2535   14.6460   15.3231   15.4281   15.7732
  0.8281  -12.5013  -11.0371  -10.1437   -4.7439   -4.3511   -3.5604   -3.4499   -1.0956   -0.9050    0.7523    0.8185    2.9745    3.4644    7.1462    8.3757    8.7455    8.8680    9.1988    9.4957   10.1910   11.0515   11.2052   11.5457   11.8976   12.2231   12.3408   12.4915   13.2650   14.6247   15.2581   15.4273   15.8385
  0.8525  -12.4986  -11.0338  -10.1504   -4.7392   -4.3533   -3.5550   -3.4453   -1.1389   -0.9635    0.7958    0.8816    3.0025    3.4578    7.0939    8.2687    8.7594    8.8691    9.2244    9.5818   10.1923   11.0189   11.1431   11.5759   11.9538   12.2519   12.3461   12.5185   13.2982   14.5640   15.1207   15.4285   15.9750
  0.8769  -12.4943  -11.0282  -10.1615   -4.7314   -4.3569   -3.5460   -3.4378   -1.2067   -1.0520    0.8642    0.9779    3.0486    3.4468    7.0136    8.1275    8.7742    8.8525    9.2658    9.7059   10.1965   10.9826   11.0641   11.6062   12.0102   12.3015   12.3718   12.5645   13.3497   14.4721   14.9639   15.4375   16.1303
  0.9014  -12.4883  -11.0204  -10.1769   -4.7205   -4.3615   -3.5336   -3.4273   -1.2942   -1.1619    0.9530    1.0983    3.1117    3.4315    6.9122    7.9700    8.7833    8.8172    9.3180    9.8495   10.2063   10.9554   10.9836   11.6261   12.0406   12.3669   12.4335   12.6331   13.4150   14.3596   14.8060   15.4569   16.2702
  0.9258  -12.4807  -11.0105  -10.1964   -4.7066   -4.3669   -3.5178   -3.4139   -1.3965   -1.2857    1.0576    1.2350    3.1907    3.4119    6.7965    7.8052    8.7673    8.7834    9.3716    9.9967   10.2252   10.9123   10.9476   11.6340   12.0432   12.4363   12.5275   12.7296   13.4889   14.2367   14.6558   15.4860   16.3628
  0.9502  -12.4717  -10.9984  -10.2198   -4.6900   -4.3728   -3.4987   -3.3977   -1.5094   -1.4175    1.1743    1.3818    3.2841    3.3880    6.6716    7.6377    8.7066    8.7740    9.4156   10.1338   10.2543   10.8600   10.9682   11.6335   12.0316   12.4989   12.6370   12.8544   13.5648   14.1128   14.5218   15.5228   16.4274
  0.9746  -12.4613  -10.9843  -10.2468   -4.6708   -4.3788   -3.4765   -3.3787   -1.6296   -1.5531    1.2998    1.5340    3.3601    3.3902    6.5418    7.4700    8.6392    8.7560    9.4410   10.2485   10.2894   10.8376   11.0251   11.6299   12.0171   12.5513   12.7476   12.9989   13.6325   13.9984   14.4165   15.5648   16.4469
  0.9990  -12.4498  -10.9682  -10.2772   -4.6493   -4.3847   -3.4511   -3.3571   -1.7544   -1.6895    1.4317    1.6880    3.3282    3.5074    6.4103    7.3037    8.5685    8.7309    9.4439   10.3200   10.3343   10.8573   11.1197   11.6287   12.0060   12.5932   12.8485   13.1468   13.6771   13.9087   14.3583   15.6099   16.4185
  1.0235  -12.4373  -10.9502  -10.3106   -4.6257   -4.3900   -3.4228   -3.3329   -1.8815   -1.8242    1.5677    1.8405    3.2924    3.6339    6.2795    7.1397    8.4978    8.7002    9.4252   10.3377   10.3936   10.9238   11.2411   11.6374   12.0022   12.6233   12.9295   13.2714   13.6886   13.8710   14.3626   15.6557   16.3207
  1.0479  -12.4240  -10.9304  -10.3465   -4.6003   -4.3946   -3.3917   -3.3065   -2.0094   -1.9552    1.7056    1.9889    3.2531    3.7678    6.1517    6.9789    8.4303    8.6657    9.3881   10.3447   10.4345   11.0290   11.3650   11.6699   12.0084   12.6393   12.9785   13.3411   13.6806   13.9202   14.4234   15.6997   16.1511
  1.0723  -12.4104  -10.9089  -10.3845   -4.5738   -4.3983   -3.3577   -3.2779   -2.1364   -2.0806    1.8434    2.1308    3.2106    3.9073    6.0287    6.8215    8.3689    8.6295    9.3362   10.3486   10.4645   11.1579   11.4573   11.7480   12.0273   12.6402   12.9844   13.3616   13.6816   14.0544   14.5167   15.7386   15.9302
  1.0967  -12.3966  -10.8857  -10.4240   -4.5467   -4.4010   -3.3210   -3.2477   -2.2614   -2.1988    1.9789    2.2635    3.1651    4.0506    5.9128    6.6679    8.3162    8.5935    9.2731   10.3553   10.4882   11.2966   11.5088   11.8663   12.0619   12.6320   12.9468   13.3715   13.7082   14.2360   14.6131   15.6961   15.7661
  1.1211  -12.3830  -10.8611  -10.4646   -4.5195   -4.4028   -3.2817   -3.2163   -2.3831   -2.3081    2.1097    2.3847    3.1175    4.1953    5.8062    6.5184    8.2745    8.5594    9.2021   10.3675   10.5080   11.4327   11.5422   11.9808   12.1161   12.6349   12.8780   13.3941   13.7569   14.4363   14.6704   15.4998   15.7688
  1.1456  -12.3702  -10.8352  -10.5055   -4.4932   -4.4038   -3.2399   -3.1842   -2.5004   -2.4063    2.2332    2.4917    3.0687    4.3385    5.7124    6.3730    8.2462    8.5281    9.1268   10.3860   10.5245   11.5555   11.5728   12.0462   12.1936   12.6817   12.7936   13.4352   13.8148   14.6259   14.6358   15.4125   15.7226
  1.1700  -12.3584  -10.8081  -10.5462   -4.4687   -4.4043   -3.1958   -3.1524   -2.6122   -2.4914    2.3469    2.5811    3.0206    4.4756    5.6365    6.2319    8.2328    8.4996    9.0511   10.4100   10.5375   11.6069   11.6574   12.0459   12.2953   12.7066   12.7870   13.4937   13.8610   14.4780   14.8061   15.4526   15.6222
  1.1944  -12.3483  -10.7799  -10.5858   -4.4471   -4.4046   -3.1498   -3.1220   -2.7170   -2.5608    2.4480    2.6482    2.9768    4.5990    5.5869    6.0952    8.2357    8.4722    8.9804   10.4381   10.5458   11.6472   11.7352   12.0007   12.4138   12.6286   12.9297   13.5673   13.8461   14.3347   14.8767   15.5534   15.5599
  1.2188  -12.3403  -10.7509  -10.6237   -4.4294   -4.4051   -3.1031   -3.0942   -2.8128   -2.6119    2.5344    2.6856    2.9440    4.6968    5.5758    5.9630    8.2557    8.4414    8.9215   10.4681   10.5478   11.6945   11.7892   11.9370   12.5099   12.5951   13.0829   13.6518   13.7095   14.3036   14.7790   15.6244   15.6900
  1.2432  -12.3352  -10.7213  -10.6590   -4.4166   -4.4066   -3.0698   -3.0607   -2.8935   -2.6428    2.6039    2.6864    2.9289    4.7567    5.6162    5.8352    8.2929    8.4013    8.8823   10.4977   10.5412   11.7492   11.8189   11.8710   12.4960   12.6800   13.2278   13.5094   13.7344   14.3589   14.5958   15.7839   15.8199
